PID,  Sale_Price
908276150, 88743.39766338088
903451090, 124549.99457340162
527110080, 175968.5545221499
535457010, 146525.400489827
903484020, 135234.11222962532
905479110, 117337.6073404972
527452310, 127250.42526756623
528228445, 195137.0601891595
923225370, 90829.52376909347
528344040, 324017.50755889894
532377050, 134347.07100661515
535176050, 148897.98190096495
906340100, 337374.7702404655
533212050, 154587.99320835958
909428180, 203076.73639419084
535379110, 133290.01232139172
534250400, 191447.03588594566
527450520, 111705.63841224184
527452150, 138991.92743043002
903225040, 111021.58964567643
911370410, 284729.91696358606
905226080, 132315.24530921807
914467050, 238845.70672756623
908152260, 142901.33218753245
534451170, 89518.11928642626
923228310, 82071.66057729816
910201180, 143280.33229723814
534476100, 135057.68752590296
923225080, 132692.78259534648
906223210, 228477.94932476076
905480150, 86446.13938983022
903452090, 105358.96561179472
527208010, 404017.8043930339
906426090, 138494.33077028816
903231090, 125682.05614021777
535152280, 138178.42608920825
528458180, 212925.3281450303
532354060, 134300.02902071498
909279040, 115467.66043158325
527353060, 247018.99232843253
916176030, 163254.92617970673
533110130, 264728.7613480141
911370450, 270562.06447159493
528118110, 350805.0266687893
528228270, 206359.0022799516
905480240, 96113.36398932029
914460020, 236809.27231750658
534428060, 132357.30269611708
534252240, 170141.991621236
908102050, 105225.75529044686
914475030, 172441.37358871236
533221040, 172108.33052167346
535451170, 90905.47617446823
905451340, 126423.06996103206
528118040, 427212.0582896872
903200080, 165424.00329734653
527162110, 190031.99562302543
535381040, 188904.01279481265
528174020, 189592.50586087297
534400290, 158244.24375731233
903206070, 144831.7893979187
533252130, 187764.50526098814
906382030, 250230.70005837543
535327200, 128717.96260216249
535455080, 109085.4929112912
527354160, 188994.73706039638
902207120, 109308.85565180314
909282060, 155776.22504022732
902109140, 134197.79375460726
902206270, 135707.78957760747
533250050, 224059.62799991784
909452050, 233996.74429321042
527212060, 377458.88984755526
906394060, 195347.97668766006
534401120, 150645.5064457332
528435010, 215543.5360215799
528315080, 272385.99392205285
909275030, 139018.03767803404
528102010, 417995.5229839746
907200290, 151269.1595372709
902300260, 140564.1318115816
528150110, 436429.7722748702
535450100, 130364.29254940008
907285010, 243823.28228330726
533253210, 184294.72985679592
527301280, 169271.9060953853
905478140, 139759.49860388393
902204080, 95210.28669929027
907201280, 133771.69986898516
905476170, 88360.39415457091
923228210, 85247.69879079249
534226120, 120166.57334082581
527301170, 229243.0380825531
535453040, 127430.59341240699
535150300, 259852.04756499443
528363020, 274224.85535350704
907265100, 202396.50880416983
910200060, 119408.78136054134
532376160, 128661.58192805959
908204180, 85109.94508740958
909282130, 138816.83939891722
528326110, 311687.54434527655
534176230, 153402.612413644
527302210, 232264.56076960376
526355170, 258999.3696303781
535305180, 138355.8904314906
905452150, 129223.85463526162
902201090, 122089.90373317621
527452190, 140153.705776782
908275280, 125177.92273063632
527402210, 130494.12331116706
921126010, 308440.52131236554
905109130, 259095.12274601017
535425070, 183476.9067164147
905200290, 165372.6252026478
533253060, 123606.11855776877
535179050, 133421.56522092642
903476100, 92239.61250027189
533135020, 216174.2056359428
527403120, 114323.97922361143
528429080, 255745.03621569573
528354100, 241944.04583646441
902427150, 132342.13377637573
527226040, 157627.17123946227
924100060, 163312.68307548924
531452180, 201575.37731668673
907252050, 210066.79498160252
903236200, 111662.57706840533
910201130, 118087.0689274235
909100080, 144271.9112791176
535402010, 178967.73589118576
528186100, 298183.6257959256
905225020, 242358.76189213933
905201110, 165211.14757209766
527158090, 165634.9027572205
528175010, 215334.8581142084
902401010, 104829.19016489698
534251320, 163730.30358273926
902109120, 140772.86796915118
528290170, 186911.2666341804
534252060, 150808.0374512297
905475510, 120075.6917088329
527425060, 125045.01157196172
534201130, 126247.58777363044
526302110, 114441.30307596354
903430050, 100322.997145224
902110130, 102866.61795036444
534401110, 139805.48663875664
528231020, 171360.49267683417
531479020, 88204.76716948072
905403060, 102188.40378884594
916326010, 196229.30399827322
527365030, 222474.59626682877
528228295, 197524.2472219922
527455250, 133715.22624611517
916403040, 182197.53159054075
527252090, 317581.3346325913
908225240, 112194.09162540238
528228285, 170446.17376530217
908178050, 268905.56114606385
916326040, 166285.71496499557
916380060, 243919.56322545893
903204010, 119132.92202954838
528144020, 215126.14361393667
906204230, 252571.73449471078
528168030, 293050.74847383844
531369060, 191643.5523713252
535451100, 131652.29599528233
906380010, 185284.27468118008
527450460, 105599.9745885588
534277070, 109066.99126958741
532353050, 129281.35932678117
527105140, 188215.05409421405
908102330, 126191.67527488248
907135230, 146339.89385823093
908250030, 76218.10307936928
902103090, 133219.25052376784
528458120, 246122.63273576152
535425060, 176229.06802492205
527404100, 136429.07907306176
905475160, 122023.76765879402
